setting,method,roc_auc,pr_auc,precision,recall,f1,drive_coverage,drive_failure_coverage,drive_avg_set_size
STANDARD,,0.7785052779270181,0.0113587427530808,0.0042514921102117,0.7323943661971831,0.0084539099333441,,,
LOMO-A,LAC,0.7946870964238238,0.0024444712000908,0.0023140782736976,0.5896805896805897,0.0046100653092585,0.8003286770747741,0.5625,1.0
LOMO-A,APS,0.7946870964238238,0.0024444712000908,0.0023140782736976,0.5896805896805897,0.0046100653092585,0.4683648315529992,0.125,0.6080525883319639
LOMO-B,LAC,0.4907931319126816,0.0307060078339747,0.001115746961161,0.3066954643628509,0.0022234052547521,0.984375,0.4117647058823529,1.3413461538461535
LOMO-B,APS,0.4907931319126816,0.0307060078339747,0.001115746961161,0.3066954643628509,0.0022234052547521,1.0,1.0,2.0
LOMO-C,LAC,0.4981364139480624,0.0074217203900147,0.00251393616893,0.4463075276489475,0.0049997102486066,0.993572576325656,0.88,1.962506695232994
LOMO-C,APS,0.4981364139480624,0.0074217203900147,0.00251393616893,0.4463075276489475,0.0049997102486066,1.0,1.0,2.0
