Experiment,ROC-AUC,PR-AUC,Precision,Recall,F1,Test Windows,Positive Windows,Positive Rate
STANDARD,0.7785052779270181,0.011358742753080834,0.004251492110211757,0.7323943661971831,0.008453909933344172,1322056,2201,0.001664831186644733
LOMO-A,0.4989938997387184,0.0005902018185420352,0.0,0.0,0.0,723018,426,0.0005891969494535406
LOMO-B,0.5020446879440161,0.000941673493964011,0.0,0.0,0.0,508623,477,0.0009378262485180576
LOMO-C,0.35929988289985343,0.001945072598875364,0.00204596156682265,0.6200780418588152,0.004078466142081348,1036497,2819,0.002719737731995365
