fold,group,n_drives,mean_probability,median_probability,std_probability,min_probability,max_probability
A,Healthy,1283,0.49393085995323466,0.49389693,0.022782770121076705,0.0,0.6748684
A,Failed,17,0.49389693,0.49389693,0.0,0.49389693,0.49389693
B,Healthy,815,0.49215203274846625,0.49315268,0.019278158209238238,2.149254e-24,0.49315268
B,Failed,17,0.49315268,0.49315268,0.0,0.49315268,0.49315268
C,Healthy,1768,0.49516945696318637,0.49759083000000004,0.05377606841917067,0.0,0.6419807
C,Failed,100,0.49702317140000013,0.50386087,0.0731786932636613,0.0,0.6081653
