fold,coverage,healthy_coverage,failure_coverage,avg_set_size,singleton_rate,doubleton_rate,empty_rate,method,qhat
A,0.8003286770747741,0.8034970857618651,0.5625,1.0,1.0,0.0,0.0,LAC,0.4297623932361603
A,0.4683648315529992,0.47293921731890093,0.125,0.6080525883319639,0.6080525883319639,0.0,0.39194741166803615,APS,0.9544004797935486
B,0.984375,0.996319018404908,0.4117647058823529,1.3413461538461537,0.6586538461538461,0.34134615384615385,0.0,LAC,0.5315516591072083
B,1.0,1.0,1.0,2.0,0.0,1.0,0.0,APS,1.0
C,0.9935725763256561,1.0,0.88,1.9625066952329941,0.037493304767005894,0.9625066952329941,0.0,LAC,0.7452976107597351
C,1.0,1.0,1.0,2.0,0.0,1.0,0.0,APS,1.0
