setting,roc_auc,pr_auc,precision,recall,f1,n_windows,n_positive,positive_rate,method,qhat,drive_coverage,drive_healthy_coverage,drive_failure_coverage,drive_avg_set_size,singleton_rate,doubleton_rate,empty_rate,interpretation
STANDARD,0.7785052779270181,0.011358742753080834,0.004251492110211757,0.7323943661971831,0.008453909933344172,1322056,2201,0.001664831186644733,,,,,,,,,,In-distribution evaluation under natural class imbalance.
LOMO-A,0.7946870964238238,0.0024444712000908724,0.0023140782736976078,0.5896805896805897,0.004610065309258548,623533,407,0.0006527320927681454,LAC,0.4297623932361603,0.8003286770747741,0.8034970857618651,0.5625,1.0,1.0,0.0,0.0,Unseen-vendor evaluation shows substantial distribution-shift effects; LAC coverage falls below the 90% target.
LOMO-A,0.7946870964238238,0.0024444712000908724,0.0023140782736976078,0.5896805896805897,0.004610065309258548,623533,407,0.0006527320927681454,APS,0.9544004797935486,0.4683648315529992,0.4729392173189009,0.125,0.6080525883319639,0.6080525883319639,0.0,0.3919474116680361,Unseen-vendor evaluation shows substantial distribution-shift effects; LAC coverage falls below the 90% target.
LOMO-B,0.49079313191268165,0.030706007833974716,0.0011157469611610055,0.30669546436285094,0.0022234052547521373,468893,463,0.000987432100713809,LAC,0.5315516591072083,0.984375,0.996319018404908,0.4117647058823529,1.3413461538461535,0.6586538461538461,0.3413461538461538,0.0,Unseen-vendor evaluation shows near-random CNN discrimination; LAC maintains high overall coverage but low failure coverage.
LOMO-B,0.49079313191268165,0.030706007833974716,0.0011157469611610055,0.30669546436285094,0.0022234052547521373,468893,463,0.000987432100713809,APS,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,Unseen-vendor evaluation shows near-random CNN discrimination; LAC maintains high overall coverage but low failure coverage.
LOMO-C,0.49813641394806246,0.007421720390014716,0.00251393616893008,0.44630752764894754,0.004999710248606695,961824,2803,0.0029142545829590446,LAC,0.7452976107597351,0.993572576325656,1.0,0.88,1.962506695232994,0.0374933047670058,0.962506695232994,0.0,Unseen-vendor evaluation shows near-random CNN discrimination; LAC achieves high coverage but produces mostly ambiguous prediction sets.
LOMO-C,0.49813641394806246,0.007421720390014716,0.00251393616893008,0.44630752764894754,0.004999710248606695,961824,2803,0.0029142545829590446,APS,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,Unseen-vendor evaluation shows near-random CNN discrimination; LAC achieves high coverage but produces mostly ambiguous prediction sets.
